"code","name_latin","name_english","name_french","name_spanish"
"TRUS","Cygnus buccinator","Trumpeter Swan","Cygne trompette","Cisne trompetero"
"TUDU","Aythya fuligula","Tufted Duck","Fuligule morillon","Porrón moñudo"
"TUSW","Cygnus columbianus","Tundra Swan","Cygne siffleur","Cisne chico"
"TUTI","Baeolophus bicolor","Tufted Titmouse","Mésange bicolore","Herrerillo bicolor"
"TUVU","Cathartes aura","Turkey Vulture","Urubu à tête rouge","Aura gallipavo"
"UPSA","Bartramia longicauda","Upland Sandpiper","Maubèche des champs","Correlimos batitú"
"VABU","Passerina versicolor","Varied Bunting","Passerin varié","Azulillo morado"
"VAFL","Empidonomus varius","Variegated Flycatcher","Tyran tacheté","Tuquito rayado"
"VATH","Ixoreus naevius","Varied Thrush","Grive à collier","Zorzal pinto"
"VEER","Catharus fuscescens","Veery","Grive fauve","Zorzalito rojizo"
"VEFL","Pyrocephalus rubinus","Vermilion Flycatcher","Moucherolle vermillon","Mosquero cardenal"
"VESP","Pooecetes gramineus","Vesper Sparrow","Bruant vespéral","Chingolo coliblanco"
"VGSW","Tachycineta thalassina","Violet-green Swallow","Hirondelle à face blanche","Golondrina verdemar"
"VIRA","Rallus limicola","Virginia Rail","Râle de Virginie","Rascón de Virginia"
"VIWA","Leiothlypis virginiae","Virginia's Warbler","Paruline de Virginia","Reinita de Virginia"
"WATA","Tringa incana","Wandering Tattler","Chevalier errant","Playero de Alaska"
"WAVI","Vireo gilvus","Warbling Vireo","Viréo mélodieux","Vireo gorjeador"
"WBNU","Sitta carolinensis","White-breasted Nuthatch","Sittelle à poitrine blanche","Trepador pechiblanco"
"WCPI","Patagioenas leucocephala","White-crowned Pigeon","Pigeon à couronne blanche","Paloma coronita"
"WCSP","Zonotrichia leucophrys","White-crowned Sparrow","Bruant à couronne blanche","Chingolo coroniblanco"
"WCSW","Streptoprocne zonaris","White-collared Swift","Martinet à collier blanc","Vencejo acollarado"
"WEGR","Aechmophorus occidentalis","Western Grebe","Grèbe élégant","Achichilique común"
"WEKI","Tyrannus verticalis","Western Kingbird","Tyran de l'Ouest","Tirano occidental"
"WEME","Sturnella neglecta","Western Meadowlark","Sturnelle de l'Ouest","Pradero occidental"
"WESA","Calidris mauri","Western Sandpiper","Bécasseau d'Alaska","Correlimos de Alaska"
"WETA","Piranga ludoviciana","Western Tanager","Piranga à tête rouge","Piranga carirroja"
"WEVI","Vireo griseus","White-eyed Vireo","Viréo aux yeux blancs","Vireo ojiblanco"
"WEWA","Helmitheros vermivorum","Worm-eating Warbler","Paruline vermivore","Reinita gusanera"
"WEWP","Contopus sordidulus","Western Wood-Pewee","Pioui de l'Ouest","Pibí occidental"
"WFIB","Plegadis chihi","White-faced Ibis","Ibis à face blanche","Morito cariblanco"
"WHCR","Grus americana","Whooping Crane","Grue blanche","Grulla trompetera"
"WHIB","Eudocimus albus","White Ibis","Ibis blanc","Corocoro blanco"
"WHIM","Numenius phaeopus","Whimbrel","Courlis corlieu","Zarapito trinador"
"WHWA","Motacilla alba","White Wagtail","Bergeronnette grise","Lavandera blanca"
"WIFL","Empidonax traillii","Willow Flycatcher","Moucherolle des saules","Mosquero saucero"
"WILL","Tringa semipalmata","Willet","Chevalier semipalmé","Playero aliblanco"
"WIPH","Phalaropus tricolor","Wilson's Phalarope","Phalarope de Wilson","Falaropo tricolor"
"WIPL","Charadrius wilsonia","Wilson's Plover","Pluvier de Wilson","Chorlitejo piquigrueso"
"WIPT","Lagopus lagopus","Willow Ptarmigan","Lagopède des saules","Lagópodo común"
"WISN","Gallinago delicata","Wilson's Snipe","Bécassine de Wilson","Agachadiza de Wilson"
"WISP","Oceanites oceanicus","Wilson's Storm-Petrel","Océanite de Wilson","Paíño de Wilson"
"WITU","Meleagris gallopavo","Wild Turkey","Dindon sauvage","Guajolote gallipavo"
"WIWA","Cardellina pusilla","Wilson's Warbler","Paruline à calotte noire","Reinita de Wilson"
"WIWR","Troglodytes hiemalis","Winter Wren","Troglodyte des forêts","Chochín hiemal"
"WODU","Aix sponsa","Wood Duck","Canard branchu","Pato joyuyo"
"WOST","Mycteria americana","Wood Stork","Tantale d'Amérique","Tántalo americano"
"WOTH","Hylocichla mustelina","Wood Thrush","Grive des bois","Zorzalito maculado"
"WRSA","Calidris fuscicollis","White-rumped Sandpiper","Bécasseau à croupion blanc","Correlimos culiblanco"
"WTSP","Zonotrichia albicollis","White-throated Sparrow","Bruant à gorge blanche","Chingolo gorjiblanco"
"WWCR","Loxia leucoptera","White-winged Crossbill","Bec-croisé bifascié","Piquituerto aliblanco"
"WWDO","Zenaida asiatica","White-winged Dove","Tourterelle à ailes blanches","Zenaida aliblanca"
"WWSC","Melanitta deglandi","White-winged Scoter","Macreuse à ailes blanches","Negrón aliblanco"
"WWTE","Chlidonias leucopterus","White-winged Tern","Guifette leucoptère","Fumarel aliblanco"
"YBCH","Icteria virens","Yellow-breasted Chat","Ictérie polyglotte","Reinita grande"
"YBCU","Coccyzus americanus","Yellow-billed Cuckoo","Coulicou à bec jaune","Cuclillo piquigualdo"
"YBFL","Empidonax flaviventris","Yellow-bellied Flycatcher","Moucherolle à ventre jaune","Mosquero ventriamarillo"
"YBLO","Gavia adamsii","Yellow-billed Loon","Plongeon à bec blanc","Colimbo de Adams"
"YBSA","Sphyrapicus varius","Yellow-bellied Sapsucker","Pic maculé","Chupasavia norteño"
"YCNH","Nyctanassa violacea","Yellow-crowned Night-Heron","Bihoreau violacé","Martinete coronado"
"YERA","Coturnicops noveboracensis","Yellow Rail","Râle jaune","Polluela amarillenta"
"YHBL","Xanthocephalus xanthocephalus","Yellow-headed Blackbird","Carouge à tête jaune","Tordo cabeciamarillo"
"YNAL","Thalassarche chlororhynchos","Yellow-nosed Albatross","Albatros à nez jaune","Albatros clororrinco atlántico"
"YRWA","Setophaga coronata","Yellow-rumped Warbler","Paruline à croupion jaune","Reinita coronada"
"YTVI","Vireo flavifrons","Yellow-throated Vireo","Viréo à gorge jaune","Vireo gorjiamarillo"
"YTWA","Setophaga dominica","Yellow-throated Warbler","Paruline à gorge jaune","Reinita gorjiamarilla"
"YWAR","Setophaga petechia","Yellow Warbler","Paruline jaune","Reinita de manglar"
