"code","name_latin","name_english","name_french","name_spanish"
"GRSH","Ardenna gravis","Great Shearwater","Puffin majeur","Pardela capirotada"
"GRSP","Ammodramus savannarum","Grasshopper Sparrow","Bruant sauterelle","Chingolo saltamontes"
"GRVE","Colibri thalassinus","Mexican Violetear","Colibri thalassin","Colibrí verdemar"
"GRWA","Setophaga graciae","Grace's Warbler","Paruline de Grace","Reinita de Grace"
"GRYE","Tringa melanoleuca","Greater Yellowlegs","Grand Chevalier","Archibebe patigualdo grande"
"GTGR","Quiscalus mexicanus","Great-tailed Grackle","Quiscale à longue queue","Zanate mexicano"
"GTTO","Pipilo chlorurus","Green-tailed Towhee","Tohi à queue verte","Toquí coliverde"
"GWFG","Anser albifrons","Greater White-fronted Goose","Oie rieuse","Ánsar careto"
"GWTE","Anas crecca","Green-winged Teal","Sarcelle d'hiver","Cerceta común"
"GWWA","Vermivora chrysoptera","Golden-winged Warbler","Paruline à ailes dorées","Reinita alidorada"
"GYRF","Falco rusticolus","Gyrfalcon","Faucon gerfaut","Halcón gerifalte"
"HARD","Histrionicus histrionicus","Harlequin Duck","Arlequin plongeur","Pato arlequín"
"HASP","Zonotrichia querula","Harris's Sparrow","Bruant à face noire","Chingolo de Harris"
"HAWO","Dryobates villosus","Hairy Woodpecker","Pic chevelu","Pico velloso"
"HEEG","Larus heermanni","Heermann's Gull","Goéland de Heermann","Gaviota mexicana"
"HERG","Larus argentatus","Herring Gull","Goéland argenté","Gaviota argéntea europea"
"HESP","Centronyx henslowii","Henslow's Sparrow","Bruant de Henslow","Chingolo de Henslow"
"HETH","Catharus guttatus","Hermit Thrush","Grive solitaire","Zorzalito colirrufo"
"HEWA","Setophaga occidentalis","Hermit Warbler","Paruline à tête jaune","Reinita cabecigualda"
"HOFI","Haemorhous mexicanus","House Finch","Roselin familier","Camachuelo mexicano"
"HOGR","Podiceps auritus","Horned Grebe","Grèbe esclavon","Zampullín cuellirrojo"
"HOLA","Eremophila alpestris","Horned Lark","Alouette hausse-col","Alondra cornuda"
"HOME","Lophodytes cucullatus","Hooded Merganser","Harle couronné","Serreta capuchona"
"HOOR","Icterus cucullatus","Hooded Oriole","Oriole masqué","Turpial enmascarado"
"HORE","Acanthis hornemanni","Hoary Redpoll","Sizerin blanchâtre","Pardillo Ártico"
"HOSP","Passer domesticus","House Sparrow","Moineau domestique","Gorrión común"
"HOWA","Setophaga citrina","Hooded Warbler","Paruline à capuchon","Reinita encapuchada"
"HOWR","Troglodytes aedon","House Wren","Troglodyte familier","Chochín criollo"
"HUGO","Limosa haemastica","Hudsonian Godwit","Barge hudsonienne","Aguja café"
"ICGU","Larus glaucoides","Iceland Gull","Goéland arctique","Gaviota groenlandesa"
"INBU","Passerina cyanea","Indigo Bunting","Passerin indigo","Azulillo índigo"
"INDO","Columbina inca","Inca Dove","Colombe inca","Tortolita mexicana"
"IVGU","Pagophila eburnea","Ivory Gull","Mouette blanche","Gaviota marfileña"
"KEGU","Larus dominicanus","Kelp Gull","Goéland dominicain","Gaviota cocinera"
"KEWA","Geothlypis formosa","Kentucky Warbler","Paruline du Kentucky","Reinita de Kentucky"
"KIEI","Somateria spectabilis","King Eider","Eider à tête grise","Éider real"
"KILL","Charadrius vociferus","Killdeer","Pluvier kildir","Chorlitejo culirrojo"
"KIRA","Rallus elegans","King Rail","Râle élégant","Rascón elegante"
"KIWA","Setophaga kirtlandii","Kirtland's Warbler","Paruline de Kirtland","Reinita de Kirtland"
"LAGU","Leucophaeus atricilla","Laughing Gull","Mouette atricille","Gaviota guanaguanare"
"LALO","Calcarius lapponicus","Lapland Longspur","Plectrophane lapon","Escribano lapón"
"LARB","Calamospiza melanocorys","Lark Bunting","Bruant noir et blanc","Chingolo albinegro"
"LASP","Chondestes grammacus","Lark Sparrow","Bruant à joues marron","Chingolo arlequín"
"LAZB","Passerina amoena","Lazuli Bunting","Passerin azuré","Azulillo lapislázuli"
"LBBG","Larus fuscus","Lesser Black-backed Gull","Goéland brun","Gaviota sombría"
"LBCU","Numenius americanus","Long-billed Curlew","Courlis à long bec","Zarapito americano"
"LBDO","Limnodromus scolopaceus","Long-billed Dowitcher","Bécassin à long bec","Agujeta escolopácea"
"LBHE","Egretta caerulea","Little Blue Heron","Aigrette bleue","Garceta azul"
"LBMU","Brachyramphus perdix","Long-billed Murrelet","Guillemot à long bec","Mérgulo jaspeado asiático"
"LCSP","Ammospiza leconteii","LeConte's Sparrow","Bruant de LeConte","Chingolo de Le Conte"
"LEBI","Ixobrychus exilis","Least Bittern","Petit Blongios","Avetorillo americano"
"LEFL","Empidonax minimus","Least Flycatcher","Moucherolle tchébec","Mosquero mínimo"
"LEGO","Spinus psaltria","Lesser Goldfinch","Chardonneret mineur","Jilguero menor"
"LENI","Chordeiles acutipennis","Lesser Nighthawk","Engoulevent minime","Añapero garrapena"
"LEOW","Asio otus","Long-eared Owl","Hibou moyen-duc","Búho chico"
"LESA","Calidris minutilla","Least Sandpiper","Bécasseau minuscule","Correlimos menudillo"
"LESC","Aythya affinis","Lesser Scaup","Petit Fuligule","Porrón bola"
"LETE","Sternula antillarum","Least Tern","Petite Sterne","Charrancito americano"
"LEWO","Melanerpes lewis","Lewis's Woodpecker","Pic de Lewis","Carpintero de Lewis"
"LEYE","Tringa flavipes","Lesser Yellowlegs","Petit Chevalier","Archibebe patigualdo chico"
"LHSP","Hydrobates leucorhous","Leach's Storm-Petrel","Océanite cul-blanc","Paíño boreal"
"LIEG","Egretta garzetta","Little Egret","Aigrette garzette","Garceta común"
"LIGU","Hydrocoloeus minutus","Little Gull","Mouette pygmée","Gaviota enana"
"LISP","Melospiza lincolnii","Lincoln's Sparrow","Bruant de Lincoln","Chingolo de Lincoln"
"LIST","Calidris minuta","Little Stint","Bécasseau minute","Correlimos menudo"
"LOSH","Lanius ludovicianus","Loggerhead Shrike","Pie-grièche migratrice","Alcaudón americano"
"LOWA","Parkesia motacilla","Louisiana Waterthrush","Paruline hochequeue","Reinita charquera de Luisiana"
"LTDU","Clangula hyemalis","Long-tailed Duck","Harelde kakawi","Pato havelda"
"LTJA","Stercorarius longicaudus","Long-tailed Jaeger","Labbe à longue queue","Págalo rabero"
"MAFR","Fregata magnificens","Magnificent Frigatebird","Frégate superbe","Rabihorcado magnífico"
"MAGO","Limosa fedoa","Marbled Godwit","Barge marbrée","Aguja canela"
"MALL","Anas platyrhynchos","Mallard","Canard colvert","Ánade azulón"
"MASH","Puffinus puffinus","Manx Shearwater","Puffin des Anglais","Pardela pichoneta"
"MAWA","Setophaga magnolia","Magnolia Warbler","Paruline à tête cendrée","Reinita de Magnolia"
"MAWR","Cistothorus palustris","Marsh Wren","Troglodyte des marais","Cucarachero pantanero"
"MCLO","Rhynchophanes mccownii","McCown's Longspur","Plectrophane de McCown","Escribano de McCown"
"MEGU","Larus canus","Mew Gull","Goéland cendré","Gaviota cana"
"MERL","Falco columbarius","Merlin","Faucon émerillon","Esmerejón"
"MGWA","Geothlypis tolmiei","MacGillivray's Warbler","Paruline des buissons","Reinita de Tolmie"
"MIKI","Ictinia mississippiensis","Mississippi Kite","Milan du Mississippi","Elanio del Misisipi"
"MOBL","Sialia currucoides","Mountain Bluebird","Merlebleu azuré","Azulejo claro"
"MODO","Zenaida macroura","Mourning Dove","Tourterelle triste","Zenaida huilota"
"MODU","Anas fulvigula","Mottled Duck","Canard brun","Ánade moteado"
"MONP","Charadrius mongolus","Lesser Sand-Plover","Pluvier de Mongolie","Chorlitejo mongol chico"
"MOWA","Geothlypis philadelphia","Mourning Warbler","Paruline triste","Reinita plañidera"
"MUSW","Cygnus olor","Mute Swan","Cygne tuberculé","Cisne vulgar"
"NAWA","Leiothlypis ruficapilla","Nashville Warbler","Paruline à joues grises","Reinita de Nashville"
"NECO","Phalacrocorax brasilianus","Neotropic Cormorant","Cormoran vigua","Cormorán biguá"
"NHOW","Surnia ulula","Northern Hawk Owl","Chouette épervière","Cárabo gavilán"
"NOBO","Colinus virginianus","Northern Bobwhite","Colin de Virginie","Colín de Virginia"
"NOCA","Cardinalis cardinalis","Northern Cardinal","Cardinal rouge","Cardenal norteño"
"NOFL","Colaptes auratus","Northern Flicker","Pic flamboyant","Carpintero escapulario dorado"
"NOFU","Fulmarus glacialis","Northern Fulmar","Fulmar boréal","Fulmar boreal"
"NOGA","Morus bassanus","Northern Gannet","Fou de Bassan","Alcatraz atlántico"
"NOGO","Accipiter gentilis","Northern Goshawk","Autour des palombes","Azor común"
"NOHA","Circus hudsonius","Northern Harrier","Busard des marais","Aguilucho de Hudson"
"NOMO","Mimus polyglottos","Northern Mockingbird","Moqueur polyglotte","Sinsonte norteño"
"NOPA","Setophaga americana","Northern Parula","Paruline à collier","Parula norteña"
"NOPI","Anas acuta","Northern Pintail","Canard pilet","Ánade rabudo norteño"
"NOWA","Parkesia noveboracensis","Northern Waterthrush","Paruline des ruisseaux","Reinita charquera norteña"
"NOWH","Oenanthe oenanthe","Northern Wheatear","Traquet motteux","Collalba gris"
"NRWS","Stelgidopteryx serripennis","Northern Rough-winged Swallow","Hirondelle à ailes hérissées","Golondrina aserrada norteña"
"NSHO","Spatula clypeata","Northern Shoveler","Canard souchet","Cuchara común"
"NSHR","Lanius borealis","Northern Shrike","Pie-grièche boréale","Alcaudón boreal"
"NSTS","Ammospiza nelsoni","Nelson's Sparrow","Bruant de Nelson","Chingolo de Nelson"
"NSWO","Aegolius acadicus","Northern Saw-whet Owl","Petite Nyctale","Mochuelo cabezón"
"OCWA","Leiothlypis celata","Orange-crowned Warbler","Paruline verdâtre","Reinita coroninaranja"
"OROR","Icterus spurius","Orchard Oriole","Oriole des vergers","Turpial castaño"
"OSFL","Contopus cooperi","Olive-sided Flycatcher","Moucherolle à côtés olive","Pibí boreal"
"OSPR","Pandion haliaetus","Osprey","Balbuzard pêcheur","Águila pescadora"
